| 序号 | 微生物 | 种类 | 特征和属性 | 关系 | 操作工况描述 | 工况 | 指导意见或处理措施 |
| 10 | 变形虫 | 原生动物 | 由一个细胞构成，全身各处伸出伪足，没有固定的外形，可以任意改变体形 | 共同出现 | 水质趋向于良好 | 正常 | 不做处理 |
| 11 | 膜袋虫 | 原生动物 | 体小，卵形，右侧有透明的袋状纤毛膜，体毛稀疏，1根尾纤毛 | 出现 | 有机负荷高 | 不正常 | 减少曝气，增大负荷量 |
| 12 | 草履虫 | 原生动物 | 全身一个细胞，体内有一对成型的细胞核，表面一层薄膜，体型较大 | 共同出现 | 处理效果差 | 不正常 | 使废水的成分浓度和营养均衡化并适当补充所缺营养 |
| 13 | 漫游虫 | 原生动物 | 体矛形，侧扁，左面躯干部显著向上拱起 | 共同出现 | 处理效果差 | 不正常 | 使废水的成分浓度和营养均衡化并适当补充所缺营养 |
| 14 | 波豆虫 | 原生动物 | 身体小，呈卵圆形，两根鞭毛于前端从胞口内伸出，活动性很强 | 共同出现 | 处理效果差 | 不正常 | 均衡化并适当补充所缺营养 |
| 15 | 尖毛虫 | 原生动物 | 体卵圆或椭圆形，后端钝圆，柔软，可以弯曲，前触毛8根 | 共同出现 | 良好期趋向污泥解体，负荷从高趋向于良好 | 不正常 | 保证系统代谢正常，出水达标的情况下，增加剩余污泥的排放量，降低泥龄 |
| 16 | 斜叶虫 | 原生动物 | 体长，两侧压扁，前部比细削，胞口裂缝状 | 共同出现 | 良好期趋向污泥解体，负荷从高趋向于良好 | 不正常 | 保证系统代谢正常，出水达标的情况下，增加剩余污泥的排放量，降低泥龄 |
| 17 | 漫游虫 | 原生动物 | 体矛形，侧扁，左面躯干部显著向上拱起 | 共同出现 | 良好期趋向污泥解体，负荷从高趋向于良好 | 不正常 | 保证系统代谢正常，出水达标的情况下，增加剩余污泥的排放量，降低泥龄 |
| 18 | 循纤虫 | 原生动物 | 体型小，呈三边的圆形，臀触毛5根，长且细 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 19 | 聚缩虫 | 原生动物 | 身体延长呈椭圆形，脱离柄变为休眠体，条件适宜形成游泳体 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 20 | 独缩虫 | 原生动物 | 本体呈较长的钟形，每一枝能单独伸缩，前段最宽阔 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 21 | 盖纤虫 | 原生动物 | 尾柄有分支，尾柄内没有肌丝，不能收缩 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 22 | 内管虫 | 原生动物 | 无色素点或眼点，具不等长双鞭毛，游动鞭毛可见 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 23 | 累枝虫 | 原生动物 | 细长或近似圆筒形，不能收缩，肉质乳白色，少量食泡，固着 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 24 | 钟虫 | 原生动物 | 钟状身体的底部收缩为帚胚，能伸缩、内含肌丝的柄 | 共同出现 | 高净化效率的活性污泥 | 正常 | 不做处理 |
| 25 | 表壳虫 | 原生动物 | 背腹面呈圆形，形似表盖，侧面腹部扁平 | 共同出现 | BOD负荷低，硝化反应指标 | 不正常 | 增加进水量控制在合适的范围，保持较高溶解氧状态一段时间抑制低营养细菌 |
| 26 | 轮虫 | 后生动物 | 体形小，头冠上有1~2列的纤毛，身体伸缩自如，活动频繁，剧烈 | 共同出现 | BOD负荷低，硝化反应指标 | 不正常 | 增加进水量控制在合适的范围，保持较高溶解氧状态一段时间抑制低营养细菌 |
| 27 | 寡毛虫 | 后生动物 | 纤长，头部圆，身子有纤毛 | 共同出现 | BOD负荷低，硝化反应指标 | 不正常 | 增加进水量控制在合适的范围，保持较高溶解氧状态一段时间抑制低营养细菌 |
| 28 | 鳞壳虫 | 原生动物 | 壳透明，卵形或长卵形，周围鳞片上有齿 | 共同出现 | BOD负荷低，硝化反应指标 | 不正常 | 增加进水量控制在合适的范围，保持较高溶解氧状态一段时间抑制低营养细菌 |
| 29 | 多核变形虫 | 原生动物 | 体呈卵形，后端有常有短绒毛毛，行动为大步爆破喷涌状前进 | 共同出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 30 | 辐射变形虫 | 原生动物 | 体一般较大，呈分枝或不分枝的圆柱状。多伪足，在顶端有半球形的透明帽。 | 共同出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 31 | 扇形变形虫 | 原生动物 | 体呈扇形，行动为大步爆破喷涌状前进 | 共同出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 32 | 变形虫 | 原生动物 | 由一个细胞构成，全身各处伸出伪足，没有固定的外形，可以任意改变体形 | 共同出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 33 | 匣壳虫 | 原生动物 | 壳呈盘状或亚球状，壳口偏离中心，腹背面压扁 | 共同出现 | 水质良好，硝化反应，泥龄时间长 | 不正常 | 控制排泥量 |
| 34 | 表壳虫 | 原生动物 | 背腹面呈圆形，形似表盖，侧面腹部扁平 | 共同出现 | 水质良好，硝化反应，泥龄时间长 | 不正常 | 控制排泥量 |
| 35 | 钟虫 | 原生动物 | 钟状身体的底部收缩为帚胚，能伸缩、内含肌丝的柄 | 急速变少 | 负荷过高，毒物流入 | 不正常 | 查明来源，单独收集进行处理，事故排水即使引向事故池 |
| 36 | 循纤虫 | 原生动物 | 体型小，呈三边的圆形，臀触毛5根，长且细 | 急速变少 | 负荷过高，毒物流入 | 不正常 | 查明来源，单独收集进行处理，事故排水即使引向事故池 |
| 37 | 丝状菌 | 细菌 | 穿插于菌胶团之间 | 共同出现 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 38 | 扭头虫 | 原生动物 | 本体长，体形纺锤状，腹部膨大，慢速游动，运动速度快于滴虫 | 共同出现 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 39 | 丝状菌 | 细菌 | 体型小，呈三边的圆形，臀触毛5根，长且细 | 共同出现 | 污泥膨胀 | 不正常 | 检查污水水质，曝气池内溶解氧，污泥沉降比，污泥指数，及时排泥 |
| 40 | 霉菌 | 细菌 | 菌丝较粗且长，菌落疏松，呈绒毛状，蜘蛛网状 | 共同出现 | 污泥膨胀 | 不正常 | 检查污水水质，曝气池内溶解氧，污泥沉降比，污泥指数，及时排泥 |
| 41 | 浮游球衣菌 | 细菌 | 丝状体结构，不分支或假分支，体外包围一层鞘 | 共同出现 | 污泥膨胀 | 不正常 | 检查污水水质，曝气池内溶解氧，污泥沉降比，污泥指数，及时排泥 |
| 42 | 豆形虫 | 原生动物 | 身体小，呈卵圆形，两根鞭毛于前端从胞口内伸出，活动性很强 | 大量出现 | 溶解氧不足，污泥解体 | 不正常 | 定期检查溶解氧指数进行调整，减少风机运行台数，减少曝气池间数，只运行部分曝气池 |
| 43 | 滴虫 | 原生动物 | 极小，梨形，右侧有透明的毛膜，头顶一根鞭毛，尾部4根纤毛 | 少量出现 | 处理水质良好 | 正常 | 不做处理 |
| 44 | 滴虫 | 原生动物 | 极小，梨形，右侧有透明的毛膜，头顶一根鞭毛，尾部4根纤毛 | 大量出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 45 | 肾形虫 | 原生动物 | 身体呈肾形，后端比较较圆，体内有分散的食物泡 | 少量出现 | 正常运行 | 正常 | 不做处理 |
| 46 | 肾形虫 | 原生动物 | 身体呈肾形，后端比较较圆，体内有分散的食物泡 | 大量出现 | ph高，氨氮含量高，污泥恶化 | 不正常 | 降低进水PH值 |
| 47 | 草履虫 | 原生动物 | 全身一个细胞，体内有一对成型的细胞核，表面一层薄膜，体型较大 | 少量出现 | 工况良好 | 正常 | 不做处理 |
| 48 | 草履虫 | 原生动物 | 全身一个细胞，体内有一对成型的细胞核，表面一层薄膜，体型较大 | 大量出现 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 49 | 尾棘虫 | 原生动物 | 体长呈长椭圆形，体内充满吸入的藻类，臀触毛两根突出在体外，行动不灵活 | 大量出现 | 良好期趋向污泥解体，负荷从高趋向于良好 | 不正常 | 保证系统代谢正常，出水达标的情况下，增加剩余污泥的排放量，降低泥龄 |
| 50 | 循纤虫 | 原生动物 | 体型小，呈三边的圆形，臀触毛5根，长且细 | 大量出现 | 足够溶解氧，水质良好到污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 51 | 循纤虫 | 原生动物 | 体型小，呈三边的圆形，臀触毛6根，长且细 | 立马无 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 52 | 钟虫 | 原生动物 | 钟状身体的底部收缩为帚胚，能伸缩、内含肌丝的柄 | 不活跃或呆滞 | 曝气池供气不足 | 不正常 | 增大曝气量 |
| 53 | 钟虫 | 原生动物 | 钟状身体的底部收缩为帚胚，能伸缩、内含肌丝的柄 | 大量出现 | 水质良好，清澈透明 | 正常 | 不做处理 |
| 54 | 独缩虫 | 原生动物 | 本体呈较长的钟形，每一枝能单独伸缩，前段最宽阔 | 大量出现 | 最好状态 | 正常 | 不做处理 |
| 55 | 盖纤虫 | 原生动物 | 尾柄有分支，尾柄内没有肌丝，不能收缩 | 大量出现 | 水质趋向向良好 | 正常 | 不做处理 |
| 56 | 等枝虫 | 原生动物 | 等枝虫有非常大而平坦的口围部，无胞口的突出部分 | 大量出现 | 污泥趋向解体前后开始出现，处理效果差 | 不正常 | 减少曝气，增大负荷量 |
| 57 | 摩门虫 | 原生动物 | 直立，鞘无柄，有内柄，内壁有瓣形盖子，可开可关 | 大量出现 | 趋向解体低负荷状态，处理水的悬浮物浓度稍增加 | 不正常 | 停止进水排泥后投加营养，有可能引起生活污水复壮或重新接种 |
| 58 | 锤吸虫 | 原生动物 | 两个触角上面有触毛，体型偏扇形 | 大量出现 | 趋向解体低负荷状态，处理水的悬浮物浓度稍增加 | 不正常 | 停止进水排泥后投加营养，有可能引起生活污水复壮或重新接种 |
| 59 | 单领鞭毛虫 | 原生动物 | 虫体单个，无鞘，有或无柄，呈卵形或球形 | 大量出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 60 | 沟滴虫 | 原生动物 | 极小，梨形，右侧有透明的毛膜，头顶一根鞭毛 | 出现 | 溶解氧不足，污泥解体 | 不正常 | 定期检查溶解氧指数进行调整，减少风机运行台数，减少曝气池间数，只运行部分曝气池 |
| 61 | 袋鞭虫 | 原生动物 | 无色素点或眼点，有杆状器，具不等长双鞭毛，拖曳鞭毛不易见到 | 大量出现 | 系统变好或系统变差 | 不正常 | 变差的话查明来源，单独收集进行处理 |
| 62 | 内管虫 | 原生动物 | 无色素点或眼点，具不等长双鞭毛，游动鞭毛可见 | 大量出现 | 系统变好或系统变差 | 不正常 | 变差的话查明来源，单独收集进行处理 |
| 63 | 前管虫 | 原生动物 | 呈长椭圆形，虫体大，慢速旋转着游泳 | 大量出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 64 | 表壳虫 | 原生动物 | 背腹面呈圆形，形似表盖，侧面腹部扁平 | 大量出现 | 水质良好，硝化反应，泥龄时间长 | 不正常 | 控制排泥量 |
| 65 | 厢壳虫 | 原生动物 | 壳口圆，非常大，无色，淡黄色或黄褐色 | 大量出现 | 解体严重，硝化反应进行 | 不正常 | 结合进水水质水量变化、污水站运行方式变化进行判别，检查进水口情况 |
| 66 | 磷壳虫 | 原生动物 | 壳透明，卵形或长卵形，周围鳞片上有齿 | 大量出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 67 | 板壳虫 | 原生动物 | 圆栖榴弹形，中间膨胀，游泳速度快 | 出现 | 水质良好，清澈透明 | 正常 | 不做处理 |
| 68 | 游仆虫 | 原生动物 | 不弯曲，结实，腹面扁平，后部浑圆，在菌胶团爬行 | 大量出现 | 污泥停留时间长，已经解体 | 不正常 | 增加剩余污泥的排放量，降低泥龄 |
| 69 | 旋口虫 | 原生动物 | 本体长，不规则椭圆圆形，后半部比前半部宽阔 | 偶尔出现 | 污泥解体前后，直到很严重出现 | 不正常 | 降低污水的进水量，或者使进水速度和缓均匀 |
| 70 | 旋口虫 | 原生动物 | 本体长，不规则椭圆圆形，后半部比前半部宽阔 | 大量出现 | 水质良好，清澈透明 | 正常 | 不做处理 |
| 71 | 鬓毛虫 | 原生动物 | 透明瓶状的虫壳，虫体在壳中呈细长状，上部伸出壳外捕食 | 大量出现 | 污泥解体气味到污泥解体发生时 | 不正常 | 控制进水量，测定并保持进水浓度，避免超负荷或者长期低负荷运行 |
| 72 | 融虫属 | 原生动物 | 头部圆形，有两对刚毛来，尾突也分成两根，全身被毛覆盖，游泳速度非常快，虫体有特征容易识别 | 大量出现 | 负荷低，污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 73 | 轮虫 | 后生动物 | 体形小，头冠上有1~2列的纤毛，身体伸缩自如，活动频繁，剧烈 | 大量出现 | 负荷低，大量污泥老化 | 不正常 | 需排泥 |
| 74 | 旋轮虫 | 后生动物 | 眼点一对，两眼点距离宽，足末端的趾有4个 | 大量出现 | 负荷低，大量污泥老化 | 不正常 | 需排泥 |
| 75 | 鞍甲轮虫 | 后生动物 | 足有褶皱，足孔在腹面，趾1个或2个 | 大量出现 | 负荷低，大量污泥老化 | 不正常 | 需排泥 |
| 76 | 腔轮虫 | 后生动物 | 甲轮廓呈卵圆形，背腹面扁平，足很短 | 大量出现 | 污泥轻微老化 | 不正常 | 需排泥 |
| 77 | 水熊 | 后生动物 | 1个头节及4个躯体，有4对腿从躯部伸出，腿有爪，头节中有脑 | 大量出现 | 处理水良好，污泥老化 | 不正常 | 减少排水量，减少排泥 |
| 78 | 链涡虫 | 原生动物 | 体扁长，背部微凸体，前端呈三角形有一对黑色眼点 | 少量出现 | 污泥解体 | 不正常 | 减少曝气，增大负荷量 |
| 79 | 异毛目水母虫 | 原生动物 | 水母状，前部有长棘毛，尾部有长长突起的刺 | 大量出现 | 无污泥堆积区 | 正常 | 不做处理 |
| 80 | 瓢体虫 | 后生动物 | 体形最大、前叶圆而宽，口在腹侧如吸盘 | 大量增多 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 81 | 瓢体虫 | 后生动物 | 体形最大、前叶圆而宽，口在腹侧如吸盘 | 少量出现 | 负荷低，曝气量少 | 不正常 | 提高进水中底物的浓度和可生化性，降低活性污泥的浓度 |
| 82 | 仙女虫 | 原生动物 | 虫体周围有刚毛，外侧刚毛尖端两分叉呈S形 | 大量出现 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 83 | 线虫 | 后生动物 | 两侧对称，体长，两端尖，伸缩蠕动，活动剧烈 | 大量出现 | 曝气池大量堆积或者污泥成熟 | 不正常 | 需排泥 |
| 84 | 累枝虫 | 原生动物 | 细长或近似圆筒形，不能收缩，肉质乳白色，少量食泡，固着 | 大量出现在生活污水 | 不正常 | 检查污水水质，曝气池内溶解氧，污泥沉降比，污泥指数，及时排泥 |
| 85 | 贝氏硫磺细菌 | 细菌 | 特性贝氏硫磺菌是宽1~30微米的不产色素的滑行丝状沐 | 出现 | 溶解氧不足 | 不正常 | 减少负荷减少进水COD总量 |
| 86 | 游泳纤毛 | 原生动物 | 表面具有纤毛，自由游泳 | 变多 | 处理效果差 | 不正常 | 使废水的成分浓度和营养均衡化并适当补充所缺营养 |
| 87 | 固定纤毛虫 | 原生动物 | 表面具有纤毛，固着其他物体上 | 变多 | 水质趋向于良好 | 正常 | 不做处理 |
| 88 | 吸管虫 | 原生动物 | 长短不一的吸管分布全身，虫体呈现现球形状，一般不游动 | 多 | 工况由差变好 | 正常 | 不做处理 |
| 89 | 吸管虫 | 原生动物 | 长短不一的吸管分布全身，虫体呈现现球形状，一般不游动 | 少量出现 | 正常运行 | 正常 | 不做处理 |
| 90 | 吸管虫 | 原生动物 | 长短不一的吸管分布全身，虫体呈现现球形状，一般不游动 | 偶尔出现 | 污泥成熟 | 正常 | 不做处理 |
| 91 | 斜口虫 | 原生动物 | 本体长，不规则椭圆圆形，后半部比前半部宽阔 | 大量出现 | 活性污泥恶化到恢复 | 正常 | 不做处理 |
| 92 | 暗丝尾丝虫 | 原生动物 | 细长卵圆形，前端有少许下陷，后端有一根很长的尾毛 | 经常出现 | 溶解氧低，高负荷 | 不正常 | 减少负荷减少进水COD总量，提高溶解氧使活性污泥性能恢复 |
| 93 | 水蚤 | 原生动物 | 甲壳覆盖全身，头大，有复眼一对 | 颜色很红 | 无溶解氧 | 不正常 | 增强曝气的方式，增加空气量 |
| 94 | 红虫 | 原生动物 | 淡红色，成虫为红色，节上有刚毛 | 出现 | 强化污泥结构帮助沉降 | 正常 | 不做处理 |
| 95 | 水蚤 | 原生动物 | 甲壳覆盖全身，头大，有复眼一对 | 不红 | 工况良好 | 正常 | 不做处理 |
